Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,24.0,1.0,24.0,24.0,0.1,228.5249523552083,0.0,0.0,0.01340031623840332,,,,,,,,,,,,,,,,,,,,,107.04175359166764,75.58461374886157,226.4085409423521,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,46.0,2.0,22.0,46.0,0.1,196.49789402464344,0.0,0.0,2.3289809226989746,,,,,,,,,,,,,,,,,,,,,92.65267106764026,67.10438374419093,194.84903848909508,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,97.0,3.0,51.0,97.0,0.1,706.010502304281,0.0,0.0,7.130854606628418,,,,,,,,,,,,,,,,,,,,,365.52963319660574,224.46552222974898,688.7452928516641,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,150.0,4.0,53.0,150.0,0.1,508.4816440073314,0.0,0.0,12.166164636611938,,,,,,,,,,,,,,,,,,,,,253.7479066028201,145.8389517144144,496.02455804892196,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,188.0,5.0,38.0,188.0,0.1,224.46099432894204,0.0,0.0,15.819499254226685,,,,,,,,,,,,,,,,,,,,,72.72028821141765,79.08183084997223,222.14168460443258,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,214.0,6.0,26.0,214.0,0.1,225.634615872921,0.0,0.0,18.3773512840271,,,,,,,,,,,,,,,,,,,,,101.79533290273723,75.58069030802547,223.43458294876442,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,236.0,7.0,22.0,236.0,0.1,210.93123996813767,0.0,0.0,20.57084822654724,,,,,,,,,,,,,,,,,,,,,98.26075530437501,71.893172804022,209.18766950277757,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,259.0,8.0,23.0,259.0,0.1,242.66203167177486,0.0,0.0,22.883820295333862,,,,,,,,,,,,,,,,,,,,,124.32189452646804,80.54407473820724,240.28295372215675,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,280.0,9.0,21.0,280.0,0.1,198.63731436210176,0.0,0.0,25.013662815093994,,,,,,,,,,,,,,,,,,,,,97.78496562896373,66.69936145567068,196.97758828287107,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,307.0,10.0,27.0,307.0,0.1,253.4963390037131,0.0,0.0,27.6455819606781,,,,,,,,,,,,,,,,,,,,,109.94217475085368,87.85292873073863,251.0297086730776,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,334.0,11.0,27.0,334.0,0.1,232.26519000363479,0.0,0.0,30.32372760772705,,,,,,,,,,,,,,,,,,,,,107.28120046651769,75.790757940843,229.82802381063627,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,366.0,12.0,32.0,366.0,0.1,362.15221246327957,0.0,0.0,33.627182960510254,,,,,,,,,,,,,,,,,,,,,193.69294092408816,117.90022398898292,356.6670157181294,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,397.0,13.0,31.0,397.0,0.1,369.54902665092,0.0,0.0,36.64326310157776,,,,,,,,,,,,,,,,,,,,,186.93748229362868,122.80480105786407,364.4825653479482,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,428.0,14.0,31.0,428.0,0.1,358.00075669201067,0.0,0.0,39.77544331550598,,,,,,,,,,,,,,,,,,,,,174.14163157562962,119.0317226627452,353.3086300646655,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,445.0,15.0,17.0,445.0,0.1,72.6040701936414,0.0,0.0,41.535178661346436,,,,,,,,,,,,,,,,,,,,,25.917148245717804,24.929810124146783,72.30802241026231,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,472.0,16.0,27.0,472.0,0.1,250.53534807385148,0.0,0.0,44.24609708786011,,,,,,,,,,,,,,,,,,,,,113.93082602654984,84.5939495286682,247.95487757139992,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,501.0,17.0,29.0,501.0,0.1,224.30672747901366,0.0,0.0,47.21388554573059,,,,,,,,,,,,,,,,,,,,,92.70342026776841,76.84671387447182,222.0622306903986,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,526.0,18.0,25.0,526.0,0.1,202.06271203955694,0.0,0.0,49.89000129699707,,,,,,,,,,,,,,,,,,,,,92.86571138860694,66.52312028338548,200.14115141652343,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,550.0,19.0,24.0,550.0,0.1,210.68892592423035,0.0,0.0,52.41092896461487,,,,,,,,,,,,,,,,,,,,,98.02222124565333,73.59206251316968,208.75369124312977,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,607.0,20.0,57.0,607.0,0.1,871.8305601517435,0.0,0.0,57.84118962287903,,,,,,,,,,,,,,,,,,,,,458.88350638656436,270.7566204810524,847.3680890978161,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,42.0,1.0,42.0,649.0,0.1,433.4584859713707,0.0,0.0,157.679016828537,,,,,,,,,,,,,,,,,,,,,217.6406367233285,126.57008433972935,425.1674890395812,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,72.0,2.0,30.0,679.0,0.1,349.60088751557146,0.0,0.0,160.63755226135254,,,,,,,,,,,,,,,,,,,,,176.15743891494137,116.06433807115263,345.0058310043009,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,93.0,3.0,21.0,700.0,0.1,201.8047571570481,0.0,0.0,162.81919240951538,,,,,,,,,,,,,,,,,,,,,88.93997688518641,70.62457281791842,200.33749228954608,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,118.0,4.0,25.0,725.0,0.1,212.0229510728545,0.0,0.0,165.39001512527466,,,,,,,,,,,,,,,,,,,,,92.99065758651378,73.7630530449882,210.11821093685452,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,137.0,5.0,19.0,744.0,0.1,139.0298983943498,0.0,0.0,167.40782833099365,,,,,,,,,,,,,,,,,,,,,58.288416261974305,46.83406381320423,138.19867764197863,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,155.0,6.0,18.0,762.0,0.1,147.07522565339312,0.0,0.0,169.33038115501404,,,,,,,,,,,,,,,,,,,,,68.0189049563676,51.93923129678248,146.14302527169667,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,176.0,7.0,21.0,783.0,0.1,197.22632361177082,0.0,0.0,171.48115992546082,,,,,,,,,,,,,,,,,,,,,95.29352411717372,65.83166305252374,195.61619638187761,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
